               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078497,            0.078838,             0.02561,             0.81721,             0.14665,             0.14456,            0.062904,            0.061428,            0.066379,            0.016173,            0.070086,           0.0033238,           0.0033238
                   1,            0.065233,            0.069526,            0.014678,             0.82783,             0.16307,             0.17869,            0.090305,            0.056045,            0.063994,            0.012795,            0.040064,           0.0066352,           0.0066352
                   2,            0.060669,            0.070651,            0.012913,             0.77585,             0.18959,             0.21428,             0.11922,            0.049918,            0.063995,            0.011595,             0.01002,           0.0099245,           0.0099245
                   3,            0.055921,            0.069698,            0.011798,             0.83097,             0.20715,             0.26307,             0.14851,            0.045871,            0.063369,            0.010807,            0.009901,            0.009901,            0.009901
                   4,            0.052243,            0.068139,            0.010698,             0.74581,             0.25747,             0.28912,             0.15864,            0.044071,             0.06316,            0.010101,            0.009901,            0.009901,            0.009901
                   5,            0.050101,            0.067183,           0.0099732,             0.42963,             0.32707,             0.29526,             0.16812,            0.044182,            0.062885,           0.0097548,            0.009868,            0.009868,            0.009868
                   6,             0.04883,            0.066531,           0.0098013,             0.76624,             0.26132,             0.30665,             0.17428,            0.044387,            0.062484,           0.0093097,            0.009835,            0.009835,            0.009835
                   7,            0.047781,            0.066384,           0.0094017,             0.47169,             0.36408,             0.31882,             0.18348,            0.042866,            0.062279,           0.0092313,            0.009802,            0.009802,            0.009802
                   8,            0.046785,            0.066081,           0.0089629,             0.52058,             0.34463,             0.33268,             0.18963,            0.042419,            0.061917,           0.0090202,            0.009769,            0.009769,            0.009769
                   9,            0.045876,            0.065877,            0.008681,             0.51644,             0.37156,              0.3447,             0.19416,            0.041913,             0.06126,           0.0090062,            0.009736,            0.009736,            0.009736
                  10,            0.045522,            0.065419,           0.0087024,             0.56709,             0.34816,             0.34615,             0.19903,            0.041542,            0.061364,           0.0089023,            0.009703,            0.009703,            0.009703
                  11,            0.044626,             0.06487,            0.008338,             0.59821,             0.35443,             0.36199,             0.20409,            0.041129,            0.060589,           0.0086837,             0.00967,             0.00967,             0.00967
                  12,            0.044115,            0.064581,           0.0081561,             0.57851,             0.34883,             0.35191,             0.20058,            0.041177,            0.061178,           0.0086539,            0.009637,            0.009637,            0.009637
